ScanTime: 5432
ReceiverPos: 234 704 96

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_21-49-15_727;-69;-85;-68;-73;-82;
2023.5.24_21-49-21_200;-66;-91;-68;-74;-76;
2023.5.24_21-49-26_704;-66;-87;-58;-75;-76;
2023.5.24_21-49-32_209;-64;-82;-71;-75;-74;
2023.5.24_21-49-37_718;-66;-81;-63;-78;-79;
2023.5.24_21-49-43_196;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-49-48_701;-66;-87;-68;-75;-78;
2023.5.24_21-49-54_191;-68;-85;-67;-77;-79;
2023.5.24_21-49-59_693;-64;-86;-66;-88;-82;
2023.5.24_21-50-5_177;-66;-86;-66;-94;-78;
2023.5.24_21-50-10_669;-67;-90;-63;-80;-76;
2023.5.24_21-50-16_146;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-50-21_641;-69;-87;-79;-75;-78;
2023.5.24_21-50-27_133;-67;-86;-62;-76;-81;
2023.5.24_21-50-32_633;-67;-87;-64;-78;-79;
2023.5.24_21-50-38_123;-68;-87;-63;-86;-79;
2023.5.24_21-50-43_617;-67;-87;-61;-82;-79;
2023.5.24_21-50-49_94;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-50-54_602;-66;-86;-71;-76;-80;
2023.5.24_21-51-0_113;-66;-86;-64;-75;-79;
2023.5.24_21-51-5_612;-66;-86;-62;-75;-79;
2023.5.24_21-51-11_126;-66;-86;-75;-75;-79;
2023.5.24_21-51-16_626;-66;-87;-63;-75;-79;
2023.5.24_21-51-22_109;noVal;noVal;-66;noVal;noVal;
2023.5.24_21-51-27_617;-67;-88;-62;-75;-80;
2023.5.24_21-51-33_115;-71;-84;-75;-76;-79;
2023.5.24_21-51-38_597;-66;-87;-69;-75;-78;
2023.5.24_21-51-44_98;-66;-88;-62;-75;-79;
2023.5.24_21-51-49_575;-68;-86;-62;-75;-76;
2023.5.24_21-51-55_36;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-52-0_547;-67;-86;-64;-75;-79;
2023.5.24_21-52-6_41;-66;-87;-63;-75;-79;
2023.5.24_21-52-11_522;-65;-87;-66;-75;-79;
2023.5.24_21-52-17_31;-68;-84;-58;-79;-80;
2023.5.24_21-52-22_545;-67;-91;-61;-75;-80;
2023.5.24_21-52-28_29;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-52-33_546;-66;-88;-65;-75;-80;
2023.5.24_21-52-39_70;-68;-87;-64;-75;-77;
2023.5.24_21-52-44_571;-66;-88;-65;-75;-80;
2023.5.24_21-52-50_76;-68;-88;-63;-74;-76;
2023.5.24_21-52-55_567;-66;-87;-64;-79;-80;
2023.5.24_21-53-1_62;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-53-6_560;-66;-87;-59;-75;-78;
2023.5.24_21-53-12_55;-64;-94;-61;-75;-83;
2023.5.24_21-53-17_560;-66;-86;-62;-75;-80;
2023.5.24_21-53-23_56;-66;-87;-66;-75;-80;
2023.5.24_21-53-28_609;-65;-86;-62;-76;-80;
2023.5.24_21-53-34_63;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-53-39_560;-68;-84;-62;-78;-79;
