ScanTime: 5432
ReceiverPos: 343 367 130

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_22-1-36_728;-90;-88;-67;-75;-88;
2023.5.24_22-1-42_201;-86;-87;-69;-74;-79;
2023.5.24_22-1-47_691;-82;-87;-63;-74;-82;
2023.5.24_22-1-53_186;-83;-86;-86;-75;-80;
2023.5.24_22-1-58_672;-82;-87;-73;-75;-80;
2023.5.24_22-2-4_155;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-2-9_662;-83;-87;-69;-72;-70;
2023.5.24_22-2-15_184;-85;-90;-66;-71;-70;
2023.5.24_22-2-20_678;-86;-87;-71;-79;-81;
2023.5.24_22-2-26_181;-88;-92;-74;-82;-80;
2023.5.24_22-2-31_685;-87;-88;-62;-81;-80;
2023.5.24_22-2-37_174;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-2-42_674;-88;-90;-71;-76;-82;
2023.5.24_22-2-48_168;-91;-87;-70;-71;-80;
2023.5.24_22-2-53_725;-86;-90;-64;-74;-80;
2023.5.24_22-2-59_204;-90;-86;-70;-70;-70;
2023.5.24_22-3-4_706;-86;-87;-63;-77;-82;
2023.5.24_22-3-10_207;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-3-15_951;-87;-87;-71;-78;-80;
2023.5.24_22-3-21_435;-98;-91;-65;-72;-83;
2023.5.24_22-3-26_916;-87;-90;-61;-75;-80;
2023.5.24_22-3-32_406;-84;-87;-64;-76;-71;
2023.5.24_22-3-37_993;-86;-88;-63;-78;-70;
2023.5.24_22-3-43_464;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-3-48_956;-83;-88;-66;-79;-70;
2023.5.24_22-3-54_435;-85;-88;-64;-73;-70;
2023.5.24_22-4-0_57;-89;-86;-62;-73;-69;
2023.5.24_22-4-5_555;-86;-87;-68;-72;-70;
2023.5.24_22-4-11_58;-82;-86;-63;-74;-71;
2023.5.24_22-4-16_535;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-4-22_46;-89;-94;-62;-73;-71;
2023.5.24_22-4-27_544;-86;-86;-61;-78;-70;
2023.5.24_22-4-33_69;-85;-93;-68;-79;-72;
2023.5.24_22-4-38_568;-86;-87;-69;-78;-63;
2023.5.24_22-4-44_54;-88;-87;-60;-76;-71;
2023.5.24_22-4-49_534;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-4-55_42;-87;-91;-65;-76;-70;
2023.5.24_22-5-0_584;-86;-87;-71;-72;-70;
2023.5.24_22-5-6_76;-87;-87;-67;-76;-63;
2023.5.24_22-5-11_568;-86;-87;-63;-76;-70;
2023.5.24_22-5-17_56;-88;-88;-61;-76;-69;
2023.5.24_22-5-22_546;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-5-28_44;-86;-87;-68;-73;-69;
2023.5.24_22-5-33_549;-84;-87;-63;-73;-71;
2023.5.24_22-5-39_61;-90;-87;-62;-73;-69;
2023.5.24_22-5-44_530;-90;-87;-65;-76;-69;
2023.5.24_22-5-50_19;-86;-87;-63;-73;-69;
2023.5.24_22-5-55_503;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-6-1_14;-86;-88;-65;-73;-70;
2023.5.24_22-6-6_499;-86;-88;-64;-76;-68;
2023.5.24_22-6-11_984;-90;-88;-66;-76;-69;
2023.5.24_22-6-17_472;-85;-87;-64;-76;-71;
2023.5.24_22-6-22_965;-90;-88;-63;-72;-69;
2023.5.24_22-6-28_435;noVal;noVal;noVal;-72;noVal;
2023.5.24_22-6-33_939;-87;-88;-64;-76;-69;
2023.5.24_22-6-39_425;-86;-87;-71;-75;-63;
2023.5.24_22-6-44_903;-86;-89;-65;-74;-63;
2023.5.24_22-6-50_485;-86;-87;-66;-76;-69;
2023.5.24_22-6-55_970;-86;-87;-63;-82;-70;
2023.5.24_22-7-1_453;noVal;noVal;noVal;noVal;noVal;
