ScanTime: 5432
ReceiverPos: 37 186 96

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_22-16-41_915;-84;-94;-67;-90;-60;
2023.5.24_22-16-47_390;-83;-88;-69;-92;-49;
2023.5.24_22-16-52_880;-87;-88;-77;-94;-55;
2023.5.24_22-16-58_372;-86;-86;-76;-91;-56;
2023.5.24_22-17-3_861;-82;-89;-86;-89;-58;
2023.5.24_22-17-9_343;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-17-14_838;-87;-88;-68;-92;-58;
2023.5.24_22-17-20_313;-84;-88;-72;-92;-59;
2023.5.24_22-17-25_821;-82;-91;-69;-95;-61;
2023.5.24_22-17-31_457;-85;-90;-77;-90;-58;
2023.5.24_22-17-36_958;-82;-90;-66;-91;-50;
2023.5.24_22-17-42_431;noVal;noVal;noVal;noVal;-50;
2023.5.24_22-17-47_914;-83;-88;-75;-90;-58;
2023.5.24_22-17-53_408;-81;-89;-78;-88;-59;
2023.5.24_22-17-58_878;-82;-89;-75;-92;-58;
2023.5.24_22-18-4_392;-88;-89;-67;-90;-59;
2023.5.24_22-18-9_930;-83;-89;-78;-92;-58;
2023.5.24_22-18-15_409;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-18-20_875;-81;-90;-90;-87;-57;
2023.5.24_22-18-26_369;-83;-89;-70;-85;-57;
2023.5.24_22-18-31_849;-82;-88;-75;-90;-58;
2023.5.24_22-18-37_344;-86;-88;-72;-90;-58;
2023.5.24_22-18-42_826;-84;-90;-72;-95;-58;
2023.5.24_22-18-48_289;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-18-53_805;-84;-90;-71;-92;-58;
2023.5.24_22-18-59_292;-82;-86;-68;-89;-50;
2023.5.24_22-19-4_774;-86;-88;-81;-95;-58;
2023.5.24_22-19-10_262;noVal;-88;-75;-88;-58;
2023.5.24_22-19-15_761;-82;-90;-69;-87;-50;
2023.5.24_22-19-21_257;noVal;noVal;noVal;noVal;-50;
2023.5.24_22-19-26_762;-85;-90;-74;-89;-58;
2023.5.24_22-19-32_251;-85;-90;-76;-91;-57;
2023.5.24_22-19-37_734;-83;-88;-76;-85;-58;
2023.5.24_22-19-43_255;-82;-90;-73;-90;-58;
2023.5.24_22-19-48_758;-84;-88;-76;-90;-58;
2023.5.24_22-19-54_246;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-19-59_751;-84;-91;-74;-92;-58;
2023.5.24_22-20-5_280;-84;-91;noVal;-91;-50;
2023.5.24_22-20-10_766;-81;-89;-83;-91;-58;
2023.5.24_22-20-16_244;-84;-91;-65;-88;-58;
2023.5.24_22-20-21_763;-82;-91;-73;-88;-58;
2023.5.24_22-20-27_230;noVal;noVal;noVal;noVal;-50;
