ScanTime: 5432
ReceiverPos: 88 921 179

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_22-29-50_629;-90;-96;-73;-88;-91;
2023.5.24_22-29-56_108;-82;-83;-63;-98;-86;
2023.5.24_22-30-1_601;-83;-90;-56;-90;-83;
2023.5.24_22-30-7_102;-83;-91;-61;-94;-83;
2023.5.24_22-30-12_590;-84;-86;-61;-90;-86;
2023.5.24_22-30-18_51;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-30-23_513;-89;-92;-59;-94;-93;
2023.5.24_22-30-28_995;-84;-92;-59;-98;-84;
2023.5.24_22-30-34_486;-87;-89;-59;-89;-86;
2023.5.24_22-30-39_988;-88;-90;-59;-92;-86;
2023.5.24_22-30-45_504;-82;-90;-59;-88;-80;
2023.5.24_22-30-50_970;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-30-56_465;-88;-85;-59;-85;-83;
2023.5.24_22-31-1_964;-88;-90;-59;-90;-82;
2023.5.24_22-31-7_485;-88;-90;-59;-87;-82;
2023.5.24_22-31-12_972;-88;-90;-61;-85;-82;
2023.5.24_22-31-18_481;-88;-89;-61;-92;-82;
2023.5.24_22-31-23_983;noVal;noVal;noVal;noVal;-79;
2023.5.24_22-31-29_495;-82;-90;-59;-96;-75;
2023.5.24_22-31-34_992;-82;-89;-62;-90;-82;
2023.5.24_22-31-40_486;-82;-84;-62;-93;-80;
2023.5.24_22-31-45_987;-88;-90;-58;-98;-83;
2023.5.24_22-31-51_490;-88;-90;-59;-88;-83;
2023.5.24_22-31-56_968;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-32-2_680;-88;-90;-62;-99;-82;
2023.5.24_22-32-8_180;-84;-89;-62;-101;-84;
2023.5.24_22-32-13_678;-83;-90;-59;-90;-83;
2023.5.24_22-32-19_187;-84;-90;-59;-91;-83;
2023.5.24_22-32-24_673;-88;-90;-59;noVal;-83;
2023.5.24_22-32-30_153;noVal;noVal;noVal;-91;noVal;
2023.5.24_22-32-35_678;-87;-90;-61;-91;-83;
2023.5.24_22-32-41_166;-82;-90;-59;-93;-78;
2023.5.24_22-32-46_670;-88;-90;-59;noVal;-83;
2023.5.24_22-32-52_156;-82;-90;-61;-90;-84;
2023.5.24_22-32-57_656;-88;-90;-61;-91;-83;
2023.5.24_22-33-3_144;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-33-8_637;-88;-91;-59;-89;-82;
2023.5.24_22-33-14_115;-88;-89;-59;-92;-83;
2023.5.24_22-33-19_605;-88;-90;-60;-89;-82;
2023.5.24_22-33-25_106;-82;-89;-62;-89;-83;
2023.5.24_22-33-30_598;-88;-90;-61;-87;-83;
2023.5.24_22-33-36_75;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-33-41_579;-82;-90;-58;-91;-83;
2023.5.24_22-33-47_73;-82;-89;-62;-90;-83;
2023.5.24_22-33-52_584;-88;-90;-59;-100;-80;
2023.5.24_22-33-58_83;-88;-90;-59;-100;-82;
2023.5.24_22-34-3_557;-82;-89;-59;-93;-83;
2023.5.24_22-34-9_27;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-34-14_506;-88;-90;-62;noVal;-83;
2023.5.24_22-34-19_984;-82;-90;-62;-91;-83;
2023.5.24_22-34-25_489;-88;-90;-59;-91;-82;
2023.5.24_22-34-30_996;-84;-90;-62;-94;-83;
2023.5.24_22-34-36_496;-88;-90;-59;-101;-82;
2023.5.24_22-34-41_982;noVal;-85;noVal;noVal;noVal;
2023.5.24_22-34-47_476;-88;-91;-62;-91;-83;
2023.5.24_22-34-52_982;-80;-90;-59;-92;-82;
2023.5.24_22-34-58_469;-88;-90;-62;-99;-83;
2023.5.24_22-35-3_985;-84;-85;-59;-90;-83;
2023.5.24_22-35-9_475;-82;-90;-59;-91;-83;
2023.5.24_22-35-14_953;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-35-20_458;-82;-91;-59;-99;-83;
2023.5.24_22-35-25_955;-89;-92;-59;-99;-79;
2023.5.24_22-35-31_458;-87;-90;-62;-99;-83;
2023.5.24_22-35-36_940;-87;-90;-59;-94;-83;
2023.5.24_22-35-42_436;-88;-91;-59;-98;-83;
2023.5.24_22-35-47_908;noVal;-85;noVal;noVal;noVal;
2023.5.24_22-35-53_403;-84;-90;-62;-89;-83;
2023.5.24_22-35-58_884;-84;-90;-62;-99;-83;
2023.5.24_22-36-4_379;-82;-85;-61;-98;-80;
2023.5.24_22-36-9_870;-88;-90;-59;-99;-83;
2023.5.24_22-36-15_371;-88;-90;-59;-100;-83;
2023.5.24_22-36-20_870;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-36-26_366;-88;-90;-62;-91;-83;
2023.5.24_22-36-31_850;-82;-90;-59;-98;-83;
2023.5.24_22-36-37_371;-82;-90;-62;-99;-83;
2023.5.24_22-36-42_863;-82;-90;-62;-94;-80;
2023.5.24_22-36-48_414;-88;-90;-61;-98;-82;
2023.5.24_22-36-53_902;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-36-59_392;-87;-90;-59;-91;-83;
2023.5.24_22-37-4_894;-88;-90;-59;-94;-82;
2023.5.24_22-37-10_386;-88;-90;-61;-88;-83;
2023.5.24_22-37-15_893;-82;-90;-62;-91;-80;
2023.5.24_22-37-21_386;-88;-92;-58;noVal;-83;
2023.5.24_22-37-26_857;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-37-32_358;-88;-90;-59;-92;-84;
2023.5.24_22-37-37_841;-88;-85;-62;-92;-83;
2023.5.24_22-37-43_325;-84;-90;-60;-100;-83;
2023.5.24_22-37-48_826;-82;-90;-59;-91;-83;
2023.5.24_22-37-54_325;-82;-91;-62;-98;-83;
2023.5.24_22-37-59_808;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-38-5_311;-82;-90;-61;-98;-83;
2023.5.24_22-38-10_791;-80;-90;-59;-98;-82;
2023.5.24_22-38-16_301;-82;-85;-61;-90;-79;
2023.5.24_22-38-21_783;-89;-90;-59;-93;-86;
2023.5.24_22-38-27_279;-90;-92;-58;-98;-86;
2023.5.24_22-38-32_738;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-38-38_230;-88;-90;-59;-98;-86;
2023.5.24_22-38-43_716;-82;-90;-62;-100;-86;
2023.5.24_22-38-49_205;-81;-90;-62;-102;-86;
2023.5.24_22-38-54_706;-84;-90;-59;-101;-86;
2023.5.24_22-39-0_196;-82;-90;-59;-89;-89;
2023.5.24_22-39-5_677;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-39-11_172;-89;-90;-59;-98;-90;
2023.5.24_22-39-16_671;-96;-90;-61;-95;-80;
2023.5.24_22-39-22_146;-93;-91;-61;-98;-86;
2023.5.24_22-39-27_639;-83;-92;-59;-93;-86;
2023.5.24_22-39-33_126;-82;-90;-61;-93;-88;
2023.5.24_22-39-38_596;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-39-44_92;-84;-85;-59;-90;-88;
2023.5.24_22-39-49_589;-82;-91;-59;-98;-86;
%
