ScanTime: 5432
ReceiverPos: 517 587 54

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_22-42-41_784;-63;-76;-68;-69;-86;
2023.5.24_22-42-47_270;-60;-76;-64;-68;-82;
2023.5.24_22-42-52_751;-61;-78;-66;-69;-86;
2023.5.24_22-42-58_229;-61;-78;-69;-70;-89;
2023.5.24_22-43-3_719;-62;-76;-64;-68;-85;
2023.5.24_22-43-9_197;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-43-14_707;-80;-80;-64;-68;-76;
2023.5.24_22-43-20_215;-61;-76;-63;-68;-82;
2023.5.24_22-43-25_708;-60;-76;-63;-68;-87;
2023.5.24_22-43-31_176;-80;-76;-63;-68;-84;
2023.5.24_22-43-36_663;-61;-76;-71;-68;-84;
2023.5.24_22-43-42_143;noVal;noVal;noVal;noVal;-76;
2023.5.24_22-43-47_635;-62;-76;-63;-68;-82;
2023.5.24_22-43-53_138;-62;-76;-72;-72;-83;
2023.5.24_22-43-58_645;-62;-77;-68;-68;-89;
2023.5.24_22-44-4_145;-80;-76;-64;-67;-87;
2023.5.24_22-44-9_652;-62;-76;-64;-68;-85;
2023.5.24_22-44-15_135;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-44-20_628;-61;-76;-67;-68;-81;
2023.5.24_22-44-26_131;-62;-83;-64;-67;-82;
2023.5.24_22-44-31_642;-61;-82;-63;-68;-83;
2023.5.24_22-44-37_359;-62;-74;-63;-68;-82;
2023.5.24_22-44-42_839;-60;-73;-64;-67;-84;
2023.5.24_22-44-48_307;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-44-53_808;-61;-75;-64;-68;-83;
2023.5.24_22-44-59_287;-63;-76;-64;-67;-88;
2023.5.24_22-45-4_772;-61;-79;-64;-69;-85;
2023.5.24_22-45-10_296;-61;-78;-64;-68;-83;
2023.5.24_22-45-15_799;-62;-76;-71;-68;-82;
2023.5.24_22-45-21_260;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-45-26_767;-59;-79;-64;-68;-77;
2023.5.24_22-45-32_275;-60;-78;-64;-69;-82;
2023.5.24_22-45-37_787;-61;-80;-64;-67;-82;
2023.5.24_22-45-43_275;-61;-80;-64;-69;-82;
2023.5.24_22-45-48_756;-60;-79;-65;-70;-82;
2023.5.24_22-45-54_226;noVal;noVal;noVal;noVal;-76;
2023.5.24_22-45-59_737;-60;-84;-62;-70;-86;
2023.5.24_22-46-5_233;-60;-84;-63;-70;-86;
2023.5.24_22-46-10_749;-63;-82;-63;-69;-82;
