ScanTime: 5432
ReceiverPos: 712 450 94

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_22-56-1_70;-79;-66;-84;-58;-89;
2023.5.24_22-56-6_544;-67;-70;-81;-61;-86;
2023.5.24_22-56-12_33;-65;-64;-91;-60;-89;
2023.5.24_22-56-17_500;-74;-62;-82;-59;-82;
2023.5.24_22-56-22_990;-69;-65;-81;-60;-86;
2023.5.24_22-56-28_473;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-56-33_969;-74;-65;-84;-60;-85;
2023.5.24_22-56-39_485;-69;-65;-84;-60;-87;
2023.5.24_22-56-44_990;-63;-65;-84;-60;-87;
2023.5.24_22-56-50_502;-69;-65;-80;-60;-85;
2023.5.24_22-56-56_17;-74;-62;-79;-61;-89;
2023.5.24_22-57-1_496;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-57-7_150;-69;-85;-88;-60;-86;
2023.5.24_22-57-12_694;-74;-65;-78;-60;-91;
2023.5.24_22-57-18_205;-63;-65;-93;-60;-85;
2023.5.24_22-57-23_709;-65;-67;-86;-60;-86;
2023.5.24_22-57-29_194;-70;-69;-78;-67;-93;
2023.5.24_22-57-34_670;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-57-40_162;-66;-64;-81;-60;-91;
2023.5.24_22-57-45_635;-67;-65;-89;-59;-87;
2023.5.24_22-57-51_129;-67;-64;-87;-59;-84;
2023.5.24_22-57-56_631;-74;-65;-82;-59;-85;
2023.5.24_22-58-2_116;-63;-65;-87;-59;-85;
2023.5.24_22-58-7_582;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-58-13_85;-63;-65;-88;-60;-92;
2023.5.24_22-58-18_593;-63;-65;-87;-61;-92;
2023.5.24_22-58-24_107;-68;-65;-80;-59;-94;
2023.5.24_22-58-29_595;-63;-64;-82;-59;-92;
2023.5.24_22-58-35_86;-67;-65;-89;-59;-93;
2023.5.24_22-58-40_565;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-58-46_72;-66;-65;-86;-60;-93;
2023.5.24_22-58-51_583;-63;-65;-86;-59;-94;
2023.5.24_22-58-57_100;-67;-64;-80;-59;-88;
2023.5.24_22-59-2_632;-63;-65;-80;-60;-94;
2023.5.24_22-59-8_89;-67;-65;-90;-60;-92;
2023.5.24_22-59-13_576;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-59-19_226;-70;-69;-80;-59;-92;
2023.5.24_22-59-24_709;-63;-64;-80;-60;-92;
2023.5.24_22-59-30_231;-69;-65;-79;-60;-94;
2023.5.24_22-59-35_751;-67;-69;-88;-60;-92;
2023.5.24_22-59-41_257;noVal;-65;-90;-59;-93;
2023.5.24_22-59-46_735;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-59-52_235;-68;-65;-80;-59;-94;
2023.5.24_22-59-57_727;-75;-69;-88;-59;-91;
2023.5.24_23-0-3_225;-75;-69;noVal;-59;-93;
2023.5.24_23-0-8_715;-63;-69;-88;-60;-92;
