ScanTime: 5432
ReceiverPos: 569 76 81

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_23-10-44_393;-95;-78;-81;-81;-91;
2023.5.24_23-10-49_868;-81;-87;-87;-77;-90;
2023.5.24_23-10-55_365;-87;-80;-96;-78;-92;
2023.5.24_23-11-0_890;-78;-81;-82;-78;-95;
2023.5.24_23-11-6_390;-80;-80;-92;-73;-92;
2023.5.24_23-11-11_861;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-11-17_358;-85;-86;-80;-74;-96;
2023.5.24_23-11-22_869;-82;-83;-86;-77;-90;
2023.5.24_23-11-28_577;-84;-83;-91;-76;-93;
2023.5.24_23-11-34_80;-83;-82;-78;-75;-91;
2023.5.24_23-11-39_546;-79;-90;-91;-81;-92;
2023.5.24_23-11-45_23;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-11-50_514;-81;-79;-94;-73;-94;
2023.5.24_23-11-56_7;-82;-80;-81;-74;-92;
2023.5.24_23-12-1_582;-82;-80;-78;-74;-91;
2023.5.24_23-12-7_69;-82;-80;-84;-74;-92;
2023.5.24_23-12-12_561;-78;-80;-83;-74;-92;
2023.5.24_23-12-18_23;noVal;noVal;noVal;noVal;-99;
2023.5.24_23-12-23_522;-86;-77;-78;-78;-93;
2023.5.24_23-12-29_20;-78;-79;-93;-75;-95;
2023.5.24_23-12-34_504;-87;-79;-100;-73;-93;
2023.5.24_23-12-39_991;-87;-79;-94;-73;-94;
2023.5.24_23-12-45_485;-82;-79;-78;-78;-93;
2023.5.24_23-12-50_974;noVal;noVal;noVal;noVal;-95;
2023.5.24_23-12-56_554;-78;-78;-83;-78;-94;
2023.5.24_23-13-2_73;-86;-79;-92;-92;-92;
2023.5.24_23-13-7_563;-78;-78;-83;-78;-94;
2023.5.24_23-13-13_49;-78;-79;-78;-73;-92;
2023.5.24_23-13-18_536;-86;-78;-78;-78;-92;
2023.5.24_23-13-24_14;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-13-29_519;-86;-79;-92;-77;-90;
2023.5.24_23-13-35_45;-87;-79;-92;-78;-92;
2023.5.24_23-13-40_557;-78;-79;-83;-77;-92;
2023.5.24_23-13-46_66;-78;-79;-91;-78;-92;
2023.5.24_23-13-51_551;-87;-77;-92;-71;-92;
2023.5.24_23-13-57_34;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-14-2_520;-82;-78;-83;-78;-92;
2023.5.24_23-14-8_15;-83;-78;-79;-77;-91;
2023.5.24_23-14-13_497;-85;-78;-78;-78;-92;
2023.5.24_23-14-18_989;-78;-78;-83;-78;-93;
2023.5.24_23-14-24_483;-84;-78;-92;-73;-92;
2023.5.24_23-14-29_962;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-14-35_462;-78;-78;-93;-77;-92;
2023.5.24_23-14-40_971;-83;-78;-93;-73;-93;
2023.5.24_23-14-46_474;-86;-78;-91;-74;-93;
2023.5.24_23-14-51_961;-86;-78;-92;-78;-92;
2023.5.24_23-14-57_488;-84;-77;-77;-77;-92;
2023.5.24_23-15-2_973;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-15-8_473;-78;-78;-94;-73;-92;
2023.5.24_23-15-13_961;-78;-78;-95;-73;-92;
2023.5.24_23-15-19_448;-78;-78;-78;-73;-92;
2023.5.24_23-15-24_943;-84;-78;-82;-73;-93;
2023.5.24_23-15-30_444;-84;-78;-78;-78;-92;
2023.5.24_23-15-35_929;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-15-41_438;-84;-78;-90;-77;-93;
2023.5.24_23-15-46_920;-78;-78;-79;-75;-92;
2023.5.24_23-15-52_421;-78;-77;noVal;-73;-90;
2023.5.24_23-15-57_919;-80;-81;-96;-78;-91;
2023.5.24_23-16-3_376;-81;-77;-93;-76;-94;
2023.5.24_23-16-8_851;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-16-14_352;-78;-78;-82;-74;-94;
2023.5.24_23-16-19_840;-85;-78;-88;-78;-94;
2023.5.24_23-16-25_418;-81;-78;-78;-74;-94;
2023.5.24_23-16-30_899;-84;-82;-82;-76;-90;
2023.5.24_23-16-36_392;-78;-80;-89;-82;-90;
2023.5.24_23-16-41_869;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-16-47_367;-85;-78;-93;-80;-92;
2023.5.24_23-16-52_861;-85;-78;-93;-74;-94;
2023.5.24_23-16-58_366;-86;-78;-79;-76;-93;
2023.5.24_23-17-3_846;-78;-79;-82;-77;-93;
2023.5.24_23-17-9_330;-78;-78;-78;-76;-93;
2023.5.24_23-17-14_801;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-17-20_395;-86;-78;-89;-76;-94;
