ScanTime: 5432
ReceiverPos: 1042 247 231

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_23-22-4_456;-83;-74;-84;-86;-96;
2023.5.24_23-22-9_935;-76;-61;-89;-75;-97;
2023.5.24_23-22-15_430;-87;-59;-89;-74;-97;
2023.5.24_23-22-20_929;-84;-70;-87;-90;-90;
2023.5.24_23-22-26_423;-85;-64;-87;-72;-89;
2023.5.24_23-22-31_890;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-22-37_385;-82;-58;noVal;-73;-86;
2023.5.24_23-22-42_868;-78;-57;-85;-74;-86;
2023.5.24_23-22-48_364;-76;-58;-85;-74;-86;
2023.5.24_23-22-53_979;-83;-59;-84;-74;-86;
2023.5.24_23-22-59_484;-79;-57;-91;-73;-88;
2023.5.24_23-23-4_966;noVal;-58;noVal;noVal;noVal;
2023.5.24_23-23-10_632;-78;-57;-85;-74;-87;
2023.5.24_23-23-16_98;-79;-57;noVal;-73;-95;
2023.5.24_23-23-21_587;-78;-57;-87;-73;-88;
2023.5.24_23-23-27_100;-78;-57;-86;-75;-87;
2023.5.24_23-23-32_597;-78;-57;-86;-73;-87;
2023.5.24_23-23-38_79;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-23-43_583;-78;-58;-87;-76;-95;
2023.5.24_23-23-49_104;-82;-57;-86;-73;-87;
2023.5.24_23-23-54_601;-78;-57;-85;-73;-88;
2023.5.24_23-24-0_99;-78;-57;-85;-73;-88;
2023.5.24_23-24-5_591;-78;-57;-84;-73;-94;
2023.5.24_23-24-11_61;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-24-16_568;-88;-57;-96;-74;-87;
2023.5.24_23-24-22_56;-83;-57;-85;-73;-87;
2023.5.24_23-24-27_553;-83;-58;-86;-84;-87;
2023.5.24_23-24-33_61;-78;-57;-94;-76;-88;
2023.5.24_23-24-38_548;-78;-57;-87;-73;-87;
2023.5.24_23-24-44_58;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-24-49_557;-77;-60;-96;-73;-87;
2023.5.24_23-24-55_68;-83;-57;-87;-74;-87;
2023.5.24_23-25-0_579;-83;-57;-86;-84;-87;
2023.5.24_23-25-6_109;-83;-57;-92;-73;-86;
2023.5.24_23-25-11_635;-78;-57;-84;-73;-87;
2023.5.24_23-25-17_131;-84;noVal;noVal;noVal;noVal;
2023.5.24_23-25-22_630;-78;-57;-86;-73;-86;
2023.5.24_23-25-28_116;-77;-58;-100;-73;-87;
2023.5.24_23-25-33_588;-87;-57;-87;-73;-86;
2023.5.24_23-25-39_76;-78;-57;-85;-73;-87;
2023.5.24_23-25-44_554;-87;-58;-89;-73;-86;
2023.5.24_23-25-50_29;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-25-55_531;-78;-57;noVal;-73;-86;
2023.5.24_23-26-1_25;-77;-57;-86;-72;-87;
2023.5.24_23-26-6_548;-87;-57;-85;-74;-87;
2023.5.24_23-26-12_59;-78;-57;-85;-84;-87;
2023.5.24_23-26-17_552;-87;-57;-85;-73;-87;
2023.5.24_23-26-23_32;noVal;noVal;noVal;noVal;-94;
2023.5.24_23-26-28_524;-87;-57;-84;-73;-87;
2023.5.24_23-26-34_10;-83;-57;-88;-73;-87;
2023.5.24_23-26-39_508;-83;-57;-84;-73;-87;
2023.5.24_23-26-44_992;-83;-57;-87;-73;-87;
2023.5.24_23-26-50_460;-78;-57;noVal;-74;-87;
2023.5.24_23-26-55_947;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-27-1_442;-76;-57;-86;-72;-87;
2023.5.24_23-27-6_938;-82;-58;-87;-73;-88;
2023.5.24_23-27-12_446;-83;-57;-86;-76;-87;
2023.5.24_23-27-17_932;-83;-57;-85;-73;-87;
