ScanTime: 5432
ReceiverPos: 107 575 78

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_23-33-29_772;-80;-89;-67;-88;-75;
2023.5.24_23-33-35_248;-86;-92;-78;-87;-78;
2023.5.24_23-33-40_742;-80;-85;-77;-83;-79;
2023.5.24_23-33-46_234;-74;-97;-68;-84;-80;
2023.5.24_23-33-51_748;-90;-94;-69;-86;-76;
2023.5.24_23-33-57_216;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-34-2_883;-79;-92;-72;-82;-78;
2023.5.24_23-34-8_385;-85;-94;-73;-85;-78;
2023.5.24_23-34-13_864;-74;-92;-69;-86;-69;
2023.5.24_23-34-19_347;-85;-92;-69;-86;-67;
2023.5.24_23-34-24_826;-86;-93;-71;-83;-78;
2023.5.24_23-34-30_305;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-34-35_806;-74;-92;-65;-82;-78;
2023.5.24_23-34-41_278;-74;-92;-72;-83;-69;
2023.5.24_23-34-46_761;-75;-91;-72;-82;-79;
2023.5.24_23-34-52_275;-86;-92;-69;-84;-78;
2023.5.24_23-34-57_764;-85;-92;-72;-86;-68;
2023.5.24_23-35-3_240;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-35-8_750;-85;-91;-68;-85;-78;
2023.5.24_23-35-14_233;-74;-92;-71;-86;-69;
2023.5.24_23-35-19_713;-80;-92;-71;-84;-78;
2023.5.24_23-35-25_211;-74;-92;-65;-87;-78;
2023.5.24_23-35-30_699;-74;-91;-71;-85;-68;
2023.5.24_23-35-36_175;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-35-41_687;-73;-92;-68;-82;-79;
2023.5.24_23-35-47_164;-74;-92;-71;-86;-79;
2023.5.24_23-35-52_658;-86;-92;-68;-83;-78;
2023.5.24_23-35-58_149;-86;-92;-74;-85;-68;
2023.5.24_23-36-3_628;-74;-93;-72;-85;-78;
2023.5.24_23-36-9_109;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-36-14_590;-80;-92;-68;-82;-75;
2023.5.24_23-36-20_58;-80;-92;-65;-82;-68;
2023.5.24_23-36-25_555;-80;-92;-68;-85;-78;
2023.5.24_23-36-31_42;-84;-92;-69;-85;-78;
2023.5.24_23-36-36_529;-86;-92;-71;-85;-79;
2023.5.24_23-36-42_1;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-36-47_499;-74;-92;-64;-82;-78;
2023.5.24_23-36-53_20;-74;-92;-72;-82;-78;
2023.5.24_23-36-58_511;-74;-92;-72;-85;-78;
2023.5.24_23-37-4_16;-74;-92;-69;-82;-68;
2023.5.24_23-37-9_501;-85;-91;-69;-85;-78;
2023.5.24_23-37-14_986;noVal;-91;noVal;noVal;-69;
2023.5.24_23-37-20_490;-85;-92;-72;-85;-78;
2023.5.24_23-37-25_975;-86;-92;-71;-84;-77;
2023.5.24_23-37-31_486;-74;-91;-71;-85;-78;
2023.5.24_23-37-36_960;-74;-91;-69;-85;-78;
2023.5.24_23-37-42_461;-74;-92;-73;-84;-78;
2023.5.24_23-37-47_961;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-37-53_461;-82;-94;-68;-85;-78;
2023.5.24_23-37-58_965;-85;-93;-67;-85;-76;
2023.5.24_23-38-4_454;-84;-93;-68;-86;-78;
2023.5.24_23-38-9_948;-73;-93;-71;-82;-78;
2023.5.24_23-38-15_430;-88;-94;-69;-83;-80;
2023.5.24_23-38-20_891;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-38-26_396;-83;-98;-67;-82;-73;
2023.5.24_23-38-31_894;-82;-91;-70;-83;-80;
2023.5.24_23-38-37_399;-83;-99;-63;-81;-76;
2023.5.24_23-38-42_890;-83;-96;-72;-82;-76;
2023.5.24_23-38-48_369;-83;-95;-68;-83;-76;
2023.5.24_23-38-53_824;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-38-59_313;-90;-100;-74;-84;-74;
2023.5.24_23-39-4_795;-83;-92;-76;-83;-79;
2023.5.24_23-39-10_271;-84;-93;-65;-82;-80;
2023.5.24_23-39-15_786;-75;-90;-76;-81;-68;
2023.5.24_23-39-21_289;-85;-89;-67;-81;-79;
2023.5.24_23-39-26_766;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-39-32_273;-84;-90;-76;-86;-78;
2023.5.24_23-39-37_776;-78;-92;-76;-86;-68;
2023.5.24_23-39-43_272;-75;-91;-67;-84;-80;
2023.5.24_23-39-48_756;-84;-91;-76;-86;-80;
2023.5.24_23-39-54_246;-75;-94;-75;-85;-80;
2023.5.24_23-39-59_709;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-40-5_214;-78;-90;-76;-82;-72;
2023.5.24_23-40-10_695;-89;-91;-67;-86;-79;
2023.5.24_23-40-16_164;-83;-90;-65;-86;-80;
2023.5.24_23-40-21_647;-78;-91;-75;-86;-68;
2023.5.24_23-40-27_176;-78;-91;-67;-86;-80;
2023.5.24_23-40-32_654;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-40-38_147;-74;-91;-76;-84;-80;
2023.5.24_23-40-43_637;-78;-92;-67;-85;-78;
2023.5.24_23-40-49_135;-74;-90;-65;-82;-81;
2023.5.24_23-40-54_625;-84;-90;-67;-85;-71;
2023.5.24_23-41-0_107;-85;-90;-67;-86;-68;
2023.5.24_23-41-5_574;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-41-11_75;-84;-92;-68;-86;-79;
2023.5.24_23-41-16_573;-83;-91;-67;-84;-76;
2023.5.24_23-41-22_89;-74;-90;-67;-86;-81;
2023.5.24_23-41-27_594;-78;-90;-76;-86;-80;
2023.5.24_23-41-33_75;-78;-91;-67;-86;-80;
2023.5.24_23-41-38_551;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-41-44_49;-84;-96;-67;-86;-80;
2023.5.24_23-41-49_531;-84;-90;-67;-86;-81;
2023.5.24_23-41-55_26;-84;-91;-65;-85;-80;
2023.5.24_23-42-0_515;-74;-92;-76;-86;-78;
2023.5.24_23-42-6_13;-83;-92;-65;-86;-79;
2023.5.24_23-42-11_484;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-42-16_975;-74;-90;-74;-82;-80;
2023.5.24_23-42-22_473;-90;-93;-76;-82;-67;
2023.5.24_23-42-27_994;-84;-90;-75;-85;-79;
2023.5.24_23-42-33_481;-84;-92;-67;-86;-79;
2023.5.24_23-42-38_965;-75;-91;-67;-85;-79;
2023.5.24_23-42-44_448;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-42-49_934;-77;-90;-76;-86;-79;
2023.5.24_23-42-55_418;-75;-91;-65;-86;-80;
2023.5.24_23-43-0_886;-91;-90;-74;-82;-79;
2023.5.24_23-43-6_374;-76;-96;-69;-83;-78;
2023.5.24_23-43-11_856;-74;-96;-64;-82;-78;
2023.5.24_23-43-17_331;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-43-22_833;-76;-91;-64;-85;-81;
2023.5.24_23-43-28_331;-96;-100;-70;-86;-73;
