ScanTime: 5432
ReceiverPos: 660 968 123

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_23-44-41_297;-82;-96;-88;-86;-100;
2023.5.24_23-44-46_798;-82;-89;-85;-82;-89;
2023.5.24_23-44-52_336;-71;-93;-81;-82;-89;
2023.5.24_23-44-57_841;-80;-95;-80;-83;-82;
2023.5.24_23-45-3_336;-82;-93;-86;-83;-84;
2023.5.24_23-45-8_812;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-45-14_314;-71;-94;-86;-82;-92;
2023.5.24_23-45-19_804;-71;-94;-81;-82;-92;
2023.5.24_23-45-25_305;-72;-93;-83;-82;-95;
2023.5.24_23-45-30_820;-72;-94;-85;-82;-90;
2023.5.24_23-45-36_380;-71;-94;-82;-82;-89;
2023.5.24_23-45-41_834;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-45-47_332;-72;-95;-98;-86;-90;
2023.5.24_23-45-52_857;-80;-94;-80;-87;-92;
2023.5.24_23-45-58_354;-71;-93;-82;-82;-92;
2023.5.24_23-46-3_846;-71;-95;-88;-82;-90;
2023.5.24_23-46-9_354;-82;-94;-82;-82;-84;
2023.5.24_23-46-14_833;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-46-20_332;-71;-94;-81;-83;-92;
2023.5.24_23-46-25_856;-87;-94;-84;-81;-90;
2023.5.24_23-46-31_359;-80;-94;-81;-87;-83;
2023.5.24_23-46-36_847;-81;-94;-81;-86;-89;
2023.5.24_23-46-42_343;-79;-92;-81;-87;-98;
2023.5.24_23-46-47_825;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-46-53_327;-82;-92;-86;-83;-90;
2023.5.24_23-46-58_819;-71;-94;-83;-83;-92;
2023.5.24_23-47-4_320;-72;-93;-86;-82;-91;
2023.5.24_23-47-9_809;-80;-90;-81;-82;-92;
2023.5.24_23-47-15_306;-72;-90;-86;-86;-92;
2023.5.24_23-47-20_776;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-47-26_266;-72;-93;-86;-82;-90;
2023.5.24_23-47-31_862;-76;-93;-88;-82;-91;
2023.5.24_23-47-37_392;-72;-93;-80;-82;-90;
2023.5.24_23-47-43_57;-87;-95;-88;-86;-90;
2023.5.24_23-47-48_543;-72;-94;-81;-85;-91;
2023.5.24_23-47-54_27;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-47-59_516;-72;-94;-88;-82;-78;
2023.5.24_23-48-5_14;-72;-94;-88;-82;-91;
2023.5.24_23-48-10_529;-80;-93;-90;-82;-93;
2023.5.24_23-48-16_30;-80;-94;-86;-82;-92;
2023.5.24_23-48-21_558;-71;-94;-80;-82;-92;
2023.5.24_23-48-27_36;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-48-32_575;-80;-94;-88;-82;-90;
2023.5.24_23-48-38_67;-80;-97;-80;-85;-84;
2023.5.24_23-48-43_647;-87;-94;-86;-82;-89;
2023.5.24_23-48-49_124;-80;-94;-87;-82;-90;
2023.5.24_23-48-54_625;-80;-94;-80;-82;-92;
2023.5.24_23-49-0_101;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-49-5_581;-80;-93;-86;-82;-92;
2023.5.24_23-49-11_68;-80;-94;-80;-82;-90;
2023.5.24_23-49-16_588;-72;-91;-79;-84;-83;
2023.5.24_23-49-22_82;-80;-93;-85;-82;-90;
2023.5.24_23-49-27_593;-71;-93;-85;-82;-92;
2023.5.24_23-49-33_72;noVal;-96;noVal;noVal;noVal;
2023.5.24_23-49-38_575;-79;-93;-80;-82;-92;
2023.5.24_23-49-44_76;-80;-93;-82;-82;-92;
2023.5.24_23-49-49_559;-71;-93;-81;-82;-93;
2023.5.24_23-49-55_61;-72;-93;-91;-82;-91;
2023.5.24_23-50-0_544;-87;-96;-88;-87;-90;
2023.5.24_23-50-6_6;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-50-11_490;-80;-93;-81;-82;-93;
2023.5.24_23-50-16_989;-72;-93;-84;-82;-91;
2023.5.24_23-50-22_481;-72;-93;-86;-82;-91;
2023.5.24_23-50-27_973;-80;-92;-82;-82;-91;
2023.5.24_23-50-33_466;-72;-93;-85;-83;-90;
2023.5.24_23-50-38_927;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-50-44_415;-72;-93;-86;-82;-91;
2023.5.24_23-50-49_912;-80;-93;-88;-83;-90;
2023.5.24_23-50-55_411;-72;-93;-86;-82;-84;
2023.5.24_23-51-0_909;-72;-93;-82;-82;-91;
2023.5.24_23-51-6_575;-71;-93;-86;-83;-91;
2023.5.24_23-51-12_27;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-51-17_531;-72;-93;-81;-81;-92;
2023.5.24_23-51-23_32;-88;-93;-81;-82;-92;
2023.5.24_23-51-28_535;-88;-96;-86;-88;-90;
2023.5.24_23-51-34_45;-72;-93;-81;-82;-91;
2023.5.24_23-51-39_546;-72;-93;-86;-86;-90;
2023.5.24_23-51-45_37;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-51-50_547;-87;-93;-81;-82;-92;
2023.5.24_23-51-56_43;-79;-93;-81;-82;-91;
2023.5.24_23-52-1_540;-79;-93;-83;-87;-91;
2023.5.24_23-52-7_85;-80;-93;-80;-86;-90;
2023.5.24_23-52-12_587;-72;-96;-81;-88;-91;
2023.5.24_23-52-18_70;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-52-23_569;-72;-93;-85;-82;-90;
2023.5.24_23-52-29_58;-71;-93;-85;-82;-91;
2023.5.24_23-52-34_536;-87;-93;-86;-82;-91;
2023.5.24_23-52-40_26;-80;-93;-82;-86;-90;
2023.5.24_23-52-45_501;-75;-96;-82;-82;-90;
2023.5.24_23-52-50_962;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-52-56_451;-79;-94;-82;-82;-90;
2023.5.24_23-53-1_943;-80;-96;-80;-86;-90;
2023.5.24_23-53-7_455;-72;-93;-85;-88;-80;
2023.5.24_23-53-12_938;-73;-89;-79;-81;-90;
2023.5.24_23-53-18_433;-80;-91;-92;-86;-91;
2023.5.24_23-53-23_910;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-53-29_404;-77;-94;-81;-82;-90;
2023.5.24_23-53-34_899;-79;-94;-81;-82;-91;
2023.5.24_23-53-40_400;-72;-93;-85;-86;-91;
2023.5.24_23-53-45_899;-79;-92;-81;-89;-87;
2023.5.24_23-53-51_417;-72;-94;-86;-82;-92;
2023.5.24_23-53-56_893;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-54-2_413;-74;-93;-81;-82;-91;
2023.5.24_23-54-7_951;-79;-96;-85;-82;-91;
2023.5.24_23-54-13_450;-72;-94;-86;-82;-92;
2023.5.24_23-54-18_947;-79;-93;-81;-82;-92;
2023.5.24_23-54-24_425;-79;-96;-81;-85;-90;
2023.5.24_23-54-29_888;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-54-35_404;-86;-93;-81;-82;-91;
2023.5.24_23-54-40_917;-72;-94;-87;-82;-87;
